rank,player,nation,position,team,age,born,matches_played,starts,minutes_played,ninetys,goals_against,goals_against_per_90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalties_faced,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
1,Alisson,br BRA,GK,Liverpool,25,1992,38,38,"3,420",38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,
2,Kepa Arrizabalaga,es ESP,GK,Chelsea,23,1994,36,36,"3,240",36,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50
3,Asmir Begović,ba BIH,GK,Bournemouth,31,1987,24,24,"2,160",24,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0
4,Marcus Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,7,20,2.86,40,19,52.5,1,2,4,0,0,3,1,1,1,50
5,Artur Boruc,pl POL,GK,Bournemouth,38,1980,12,12,"1,080",12,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0
6,David Button,eng ENG,GK,Brighton,29,1989,4,4,360,4,5,1.25,18,13,83.3,1,1,2,1,25,2,2,0,0,0
7,Willy Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,2,0,0,3,3,100,1,1,0,2,100,0,0,0,0,
8,Petr Čech,cz CZE,GK,Arsenal,36,1982,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,
9,Joel Coleman,eng ENG,GK,Huddersfield,22,1995,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,
10,Martin Dúbravka,sk SVK,GK,Newcastle Utd,29,1989,38,38,"3,420",38,48,1.26,140,93,70,12,9,17,11,28.9,6,6,0,0,0
11,Ederson,br BRA,GK,Manchester City,24,1993,38,38,"3,420",38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0
12,Neil Etheridge,ph PHI,GK,Cardiff City,28,1990,38,38,"3,420",38,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9
13,Łukasz Fabiański,pl POL,GK,West Ham,33,1985,38,38,"3,420",38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20
14,Fabricio,es ESP,GK,Fulham,30,1987,2,2,180,2,5,2.5,21,16,76.2,0,0,2,0,0,0,0,0,0,
15,Fraser Forster,eng ENG,GK,Southampton,30,1988,1,1,90,1,3,3,6,3,50,0,0,1,0,0,0,0,0,0,
16,Ben Foster,eng ENG,GK,Watford,35,1983,38,38,"3,420",38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20
17,Paulo Gazzaniga,ar ARG,GK,Tottenham,26,1992,3,3,270,3,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,
18,David de Gea,es ESP,GK,Manchester Utd,27,1990,38,38,"3,420",38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0
19,Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,"1,755",19.5,23,1.18,85,63,74.1,10,4,6,7,35,1,1,0,0,0
20,Angus Gunn,sct SCO,GK,Southampton,22,1996,12,12,"1,080",12,18,1.5,50,31,64,4,4,4,3,25,1,0,1,0,100
21,Ben Hamer,eng ENG,GK,Huddersfield,30,1987,7,7,553,6.1,21,3.42,42,22,57.1,0,1,6,0,0,3,3,0,0,0
22,Joe Hart,eng ENG,GK,Burnley,31,1987,19,19,"1,710",19,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50
23,Tom Heaton,eng ENG,GK,Burnley,32,1986,19,19,"1,710",19,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0
24,Wayne Hennessey,wls WAL,GK,Crystal Palace,31,1987,18,17,"1,575",17.5,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25
25,Bernd Leno,de GER,GK,Arsenal,26,1992,32,31,"2,835",31.5,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0
26,Hugo Lloris,fr FRA,GK,Tottenham,31,1986,33,33,"2,970",33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40
27,Jonas Lössl,dk DEN,GK,Huddersfield,29,1989,31,30,"2,777",30.9,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20
28,Alex McCarthy,eng ENG,GK,Southampton,28,1989,25,25,"2,250",25,44,1.76,119,78,64.7,5,8,12,4,16,2,2,0,0,0
29,Will Norris,eng ENG,GK,Wolves,24,1993,1,0,,0,0,,0,0,,0,0,0,1,,0,0,0,0,
30,Rui Patrício,pt POR,GK,Wolves,30,1988,37,37,"3,330",37,46,1.24,138,96,68.8,15,9,13,7,18.9,4,3,0,1,0
31,Jordan Pickford,eng ENG,GK,Everton,24,1994,38,38,"3,420",38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60
32,Sergio Rico,es ESP,GK,Fulham,24,1993,29,29,"2,610",29,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0
33,John Ruddy,eng ENG,GK,Wolves,31,1986,1,1,90,1,0,0,3,3,100,1,0,0,1,100,0,0,0,0,
34,Mathew Ryan,au AUS,GK,Brighton,26,1992,34,34,"3,060",34,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0
35,Kasper Schmeichel,dk DEN,GK,Leicester City,31,1986,38,38,"3,420",38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0
